   103    0.27299E+04    0.80616E+00   -0.24680E+02
   104    0.27609E+04    0.82014E+00   -0.25328E+02
   105    0.27920E+04    0.83390E+00   -0.25975E+02
   106    0.28234E+04    0.84751E+00   -0.26621E+02
   107    0.28547E+04    0.86082E+00   -0.27264E+02
   108    0.28864E+04    0.87391E+00   -0.27905E+02
   109    0.29183E+04    0.88670E+00   -0.28543E+02
   110    0.29502E+04    0.89919E+00   -0.29176E+02
   111    0.29823E+04    0.91146E+00   -0.29805E+02
   112    0.30145E+04    0.92343E+00   -0.30431E+02
   113    0.30469E+04    0.93511E+00   -0.31051E+02
   114    0.30795E+04    0.94641E+00   -0.31664E+02
   115    0.31122E+04    0.95749E+00   -0.32271E+02
   116    0.31450E+04    0.96812E+00   -0.32870E+02
   117    0.31781E+04    0.97839E+00   -0.33462E+02
   118    0.32113E+04    0.98842E+00   -0.34046E+02
   119    0.32445E+04    0.99808E+00   -0.34620E+02
   120    0.32779E+04    0.10072E+01   -0.35185E+02
   121    0.33113E+04    0.10161E+01   -0.35740E+02
   122    0.33448E+04    0.10245E+01   -0.36285E+02
   123    0.33783E+04    0.10325E+01   -0.36819E+02
   124    0.34120E+04    0.10401E+01   -0.37340E+02
   125    0.34456E+04    0.10472E+01   -0.37849E+02
   126    0.34793E+04    0.10539E+01   -0.38347E+02
   127    0.35130E+04    0.10602E+01   -0.38831E+02
   128    0.35467E+04    0.10660E+01   -0.39302E+02
   129    0.35805E+04    0.10713E+01   -0.39758E+02
   130    0.36143E+04    0.10761E+01   -0.40199E+02
   131    0.36481E+04    0.10806E+01   -0.40626E+02
   132    0.36819E+04    0.10845E+01   -0.41037E+02
   133    0.37157E+04    0.10879E+01   -0.41433E+02
   134    0.37495E+04    0.10909E+01   -0.41810E+02
   135    0.37834E+04    0.10934E+01   -0.42172E+02
   136    0.38170E+04    0.10954E+01   -0.42513E+02
   137    0.38507E+04    0.10969E+01   -0.42838E+02
   138    0.38843E+04    0.10979E+01   -0.43144E+02
   139    0.39176E+04    0.10985E+01   -0.43430E+02
   140    0.39511E+04    0.10985E+01   -0.43698E+02
   141    0.39843E+04    0.10980E+01   -0.43944E+02
   142    0.40176E+04    0.10971E+01   -0.44171E+02
   143    0.40508E+04    0.10957E+01   -0.44378E+02
   144    0.40837E+04    0.10938E+01   -0.44564E+02
   145    0.41166E+04    0.10915E+01   -0.44728E+02
   146    0.41495E+04    0.10886E+01   -0.44871E+02
   147    0.41820E+04    0.10853E+01   -0.44991E+02
   148    0.42144E+04    0.10815E+01   -0.45090E+02
   149    0.42467E+04    0.10773E+01   -0.45166E+02
   150    0.42788E+04    0.10727E+01   -0.45217E+02
   151    0.43107E+04    0.10676E+01   -0.45246E+02
   152    0.43423E+04    0.10620E+01   -0.45251E+02
   153    0.43738E+04    0.10561E+01   -0.45231E+02
   154    0.44051E+04    0.10498E+01   -0.45187E+02
   155    0.44361E+04    0.10431E+01   -0.45119E+02
   156    0.44668E+04    0.10360E+01   -0.45027E+02
   157    0.44974E+04    0.10286E+01   -0.44908E+02
   158    0.45277E+04    0.10209E+01   -0.44765E+02
   159    0.45577E+04    0.10127E+01   -0.44596E+02
   160    0.45875E+04    0.10042E+01   -0.44401E+02
